subbasin,huc8,area_m2,huc8_id,pca_name,internal_mwh,colocation_mwh,hyperscale_mwh,total_mwh,scarcity_factor,plant_state,lat,lon,primary_fuel,co2_tons,water_intensity_m3_per_mwh,carbon_intensity_tons_per_mwh,water_footprint,carbon_footprint
Upper St. John,1010001.0,17222890136.6,1010001,New Brunswick System Operator,1031.1550270380100,30.10465678165560,30.84917728980290,1092.1088611094700,,ME,47.358139,-68.330855,OTHF,0.0,1.61,0.0,,0.0
Allagash,1010002.0,3198097222.04,1010002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.3347061894256330,,,,,,,,788598.8135945750,
Allagash,1010002.0,3198097222.04,1010002,New Brunswick System Operator,1031.1550270380100,30.10465678165560,30.84917728980290,1092.1088611094700,0.3347061894256330,,,,,,,,365.5355953399160,
Fish,1010003.0,2304014818.42,1010003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.3111713905544550,,,,,,,,733148.6454938720,
Fish,1010003.0,2304014818.42,1010003,New Brunswick System Operator,1031.1550270380100,30.10465678165560,30.84917728980290,1092.1088611094700,0.3111713905544550,,,,,,,,339.83303294827500,
Aroostook,1010004.0,6324223755.5,1010004,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.30920527965277900,ME,46.848,-68.0026,HYDRO,0.0,5.397952537569030,0.0,728516.3059272870,0.0
Aroostook,1010004.0,6324223755.5,1010004,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.30920527965277900,ME,46.6334,-68.4361,BIOMASS,8561.637,1.93755189619717,0.031025145130780800,728516.3059272870,73098.11833392870
Aroostook,1010004.0,6324223755.5,1010004,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.30920527965277900,ME,46.77285,-67.84849,BIOMASS,6326.489,1.93755189619717,0.03565665509389720,728516.3059272870,84010.385203964
Aroostook,1010004.0,6324223755.5,1010004,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.30920527965277900,ME,46.556477,-68.325538,HYDRO,0.0,0.0,0.0,728516.3059272870,0.0
Aroostook,1010004.0,6324223755.5,1010004,New Brunswick System Operator,1031.1550270380100,30.10465678165560,30.84917728980290,1092.1088611094700,0.30920527965277900,ME,46.848,-68.0026,HYDRO,0.0,5.397952537569030,0.0,337.6858258106310,0.0
Aroostook,1010004.0,6324223755.5,1010004,New Brunswick System Operator,1031.1550270380100,30.10465678165560,30.84917728980290,1092.1088611094700,0.30920527965277900,ME,46.6334,-68.4361,BIOMASS,8561.637,1.93755189619717,0.031025145130780800,337.6858258106310,33.882835914532900
Aroostook,1010004.0,6324223755.5,1010004,New Brunswick System Operator,1031.1550270380100,30.10465678165560,30.84917728980290,1092.1088611094700,0.30920527965277900,ME,46.77285,-67.84849,BIOMASS,6326.489,1.93755189619717,0.03565665509389720,337.6858258106310,38.94094898556910
Aroostook,1010004.0,6324223755.5,1010004,New Brunswick System Operator,1031.1550270380100,30.10465678165560,30.84917728980290,1092.1088611094700,0.30920527965277900,ME,46.556477,-68.325538,HYDRO,0.0,0.0,0.0,337.6858258106310,0.0
Meduxnekeag,1010005.0,1936076711.9,1010005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.2774457113587590,ME,46.54422,-67.8111,WIND,0.0,0.0038,0.0,653687.8185308660,0.0
Meduxnekeag,1010005.0,1936076711.9,1010005,New Brunswick System Operator,1031.1550270380100,30.10465678165560,30.84917728980290,1092.1088611094700,0.2774457113587590,ME,46.54422,-67.8111,WIND,0.0,0.0038,0.0,303.0009198517200,0.0
West Branch Penobscot,1020001.0,5520935487.97,1020001,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1840669155773980,ME,45.647179,-68.704368,HYDRO,0.0,0.0,0.0,433678.7183273790,0.0
West Branch Penobscot,1020001.0,5520935487.97,1020001,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1840669155773980,ME,45.6072,-68.5453,HYDRO,0.0,12.49323189574100,0.0,433678.7183273790,0.0
East Branch Penobscot,1020002.0,2899615880.24,1020002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.2852165930008930,,,,,,,,671996.7361343520,
Mattawamkeag,1020003.0,3911366037.77,1020003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.2754273980593450,ME,46.058056,-68.147222,WIND,0.0,0.0038,0.0,648932.4852754170,0.0
Mattawamkeag,1020003.0,3911366037.77,1020003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.2754273980593450,ME,45.4822,-67.9944,WIND,0.0,0.0038,0.0,648932.4852754170,0.0
Mattawamkeag,1020003.0,3911366037.77,1020003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.2754273980593450,ME,45.61498,-67.971,WIND,0.0,0.0038,0.0,648932.4852754170,0.0
Mattawamkeag,1020003.0,3911366037.77,1020003,New Brunswick System Operator,1031.1550270380100,30.10465678165560,30.84917728980290,1092.1088611094700,0.2754273980593450,ME,46.058056,-68.147222,WIND,0.0,0.0038,0.0,300.79670201293400,0.0
Mattawamkeag,1020003.0,3911366037.77,1020003,New Brunswick System Operator,1031.1550270380100,30.10465678165560,30.84917728980290,1092.1088611094700,0.2754273980593450,ME,45.4822,-67.9944,WIND,0.0,0.0038,0.0,300.79670201293400,0.0
Mattawamkeag,1020003.0,3911366037.77,1020003,New Brunswick System Operator,1031.1550270380100,30.10465678165560,30.84917728980290,1092.1088611094700,0.2754273980593450,ME,45.61498,-67.971,WIND,0.0,0.0038,0.0,300.79670201293400,0.0
Piscataquis,1020004.0,3784873612.39,1020004,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.251691052468721,,,,,,,,593007.4544178810,
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1,ME,44.5738,-68.8046,GAS,4294.28,0.797026152611596,0.4201428431660310,235609.2712082310,989895.4908170270
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1,ME,44.808333,-68.750833,GAS,9356.865,0.797026152611596,0.31212439122022800,235609.2712082310,735394.0034171090
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1,ME,45.2537,-68.62792,BIOMASS,1355.04,1.93755189619717,0.04639118080043820,235609.2712082310,109301.92298880500
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1,ME,44.8242,-68.7094,GAS,104414.39,1.124049882166280,0.4445303060620640,235609.2712082310,1047354.6144125500
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1,ME,44.942064,-68.64504,HYDRO,0.0,20.04202740854020,0.0,235609.2712082310,0.0
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1,ME,44.884444,-68.663889,HYDRO,0.0,24.17704582886470,0.0,235609.2712082310,0.0
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1,ME,44.8803,-68.6647,HYDRO,0.0,10.01927408854170,0.0,235609.2712082310,0.0
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1,ME,44.7383,-68.8258,BIOMASS,114945.324,1.93755189619717,0.9592926566685860,235609.2712082310,2260182.437130940
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1,ME,44.768611,-68.861667,BIOMASS,0.001,1.93755189619717,1.40370558622886E-07,235609.2712082310,0.3307260501623050
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1,ME,45.1868,-68.4649,HYDRO,0.0,61.60979188900750,0.0,235609.2712082310,0.0
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1,ME,45.34598,-68.3802,WIND,0.0,0.0038,0.0,235609.2712082310,0.0
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.1,ME,44.912667,-68.683833,HYDRO,0.0,0.0,0.0,235609.2712082310,0.0
